#,Latency steering,Period steering,Latency velocity,Period velocity
6952,-1,-1,1733414993728335104,20816495
6953,20896512,25877985,-1,-1
6954,-1,-1,1733414993782680576,104345521
6955,33965824,101928538,-1,-1
6956,-1,-1,1733414993762897152,30216293
6957,21193984,28703324,-1,-1
6958,-1,-1,1733414993774751744,111854443
6959,27213056,116298007,-1,-1
6960,-1,-1,1733414993826799616,102047827
6961,32933888,98461448,-1,-1
6962,-1,-1,1733414993802593024,25793141
6963,21153024,26099102,-1,-1
6964,-1,-1,1733414993854268416,101675227
6965,34133504,100850477,-1,-1
6966,-1,-1,1733414993827419648,23151010
6967,16252672,23598490,-1,-1
6968,-1,-1,1733414993876612864,99193215
6969,33321216,99333400,-1,-1
6970,-1,-1,1733414993853662976,27049878
6971,22018048,27586446,-1,-1
6972,-1,-1,1733414993881917696,128254441
6973,16029952,127801060,-1,-1
6974,-1,-1,1733414993917827584,35909642
6975,30846464,35767761,-1,-1
6976,-1,-1,1733414993937443584,169616217
6977,38582272,169677235,-1,-1
6978,-1,-1,1733414993999349760,111905869
6979,45915136,123906475,-1,-1
6980,-1,-1,1733414994012201728,162851847
6981,32880384,149694831,-1,-1
6982,-1,-1,1733414993991033856,28832103
6983,25663744,30659411,-1,-1
6984,-1,-1,1733414994043604480,102570182
6985,32725760,100474273,-1,-1
6986,-1,-1,1733414994013722368,20117657
6987,20117760,24732161,-1,-1
6988,-1,-1,1733414994065273344,101550860
6989,30895360,97643062,-1,-1
6990,-1,-1,1733414994035519744,20245978
6991,19098368,24117441,-1,-1
6992,-1,-1,1733414994089476864,103957019
6993,31221504,100825767,-1,-1
6994,-1,-1,1733414994062352640,22875692
6995,20887040,25683127,-1,-1
6996,-1,-1,1733414994118746624,156393750
6997,31412480,153657163,-1,-1
6998,-1,-1,1733414994103550208,34803508
6999,32222720,37160735,-1,-1
7000,-1,-1,1733414994135337728,131787405
7001,37703680,132367586,-1,-1
7002,-1,-1,1733414994188816640,103478682
7003,32617984,100656582,-1,-1
7004,-1,-1,1733414994172113664,33296764
7005,28335872,33094496,-1,-1
7006,-1,-1,1733414994247894272,125780447
7007,44923136,128832134,-1,-1
7008,-1,-1,1733414994268265984,220371534
7009,33990656,217575521,-1,-1
7010,-1,-1,1733414994306203648,37937544
7011,45877760,49759064,-1,-1
7012,-1,-1,1733414994330521856,124317972
7013,44896000,123769210,-1,-1
7014,-1,-1,1733414994353690880,123168630
7015,47909632,126752106,-1,-1
7016,-1,-1,1733414994359327488,205636451
7017,30245888,194510701,-1,-1
7018,-1,-1,1733414994412265472,102938122
7019,31215104,99043627,-1,-1
7020,-1,-1,1733414994383937024,21671220
7021,19459072,25110476,-1,-1
7022,-1,-1,1733414994438824704,104887613
7023,32843264,101768787,-1,-1
7024,-1,-1,1733414994421647104,32822094
7025,30271232,35935125,-1,-1
7026,-1,-1,1733414994462660864,141013601
7027,14962176,137339182,-1,-1
7028,-1,-1,1733414994498858240,36197123
7029,32580352,37579931,-1,-1
7030,-1,-1,1733414994518846720,119988514
7031,33980928,119143022,-1,-1
7032,-1,-1,1733414994521287424,52440653
7033,46692352,51689270,-1,-1
7034,-1,-1,1733414994584620800,113333047
7035,33354240,114810664,-1,-1
7036,-1,-1,1733414994631703808,147082809
7037,33700352,146586778,-1,-1
7038,-1,-1,1733414994679976960,198273253
7039,31423232,198317134,-1,-1
7040,-1,-1,1733414994719464448,139487365
7041,34689536,141924470,-1,-1
7042,-1,-1,1733414994698657792,29192864
7043,22466560,29689191,-1,-1
7044,-1,-1,1733414994752633600,103976003
7045,33319424,102566873,-1,-1
7046,-1,-1,1733414994737294592,34660628
7047,25886720,32511018,-1,-1
7048,-1,-1,1733414994825993728,138698961
7049,37716224,142633095,-1,-1
7050,-1,-1,1733414994844364800,118370999
7051,34392576,115920494,-1,-1
7052,-1,-1,1733414994876508672,132143624
7053,33360128,131244935,-1,-1
7054,-1,-1,1733414994914343680,37835024
7055,33803264,38293153,-1,-1
7056,-1,-1,1733414994953435136,139091180
7057,33911296,139091402,-1,-1
