#,Latency steering,Period steering,Latency velocity,Period velocity
3658,-1,-1,1733238054574828288,41028101
3659,32989696,41450180,-1,-1
3660,-1,-1,1733238054589807616,114978979
3661,33945600,115822495,-1,-1
3662,-1,-1,1733238054574452480,34644987
3663,34855936,39798825,-1,-1
3664,-1,-1,1733238054604185600,129732795
3665,20390400,123819656,-1,-1
3666,-1,-1,1733238054640634368,36448679
3667,32923392,37844384,-1,-1
3668,-1,-1,1733238054656833024,116198652
3669,31264000,115083083,-1,-1
3670,-1,-1,1733238054665491712,108658439
3671,36465408,110954622,-1,-1
3672,-1,-1,1733238054660749568,45257996
3673,36684288,45613089,-1,-1
3674,-1,-1,1733238054652130816,141380544
3675,40690432,141378647,-1,-1
3676,-1,-1,1733238054660859904,108728475
3677,35805440,108715927,-1,-1
3678,-1,-1,1733238054700265728,39405531
3679,31000832,36191258,-1,-1
3680,-1,-1,1733238054704654848,54389478
3681,29765120,53659448,-1,-1
3682,-1,-1,1733238054711491072,56835809
3683,18348032,57006617,-1,-1
3684,-1,-1,1733238054697330944,35839746
3685,33918720,38999191,-1,-1
3686,-1,-1,1733238054740223744,142892787
3687,33554944,141281631,-1,-1
3688,-1,-1,1733238054726192128,35968202
3689,36532224,41108368,-1,-1
3690,-1,-1,1733238054779586816,153394485
3691,31015168,146869918,-1,-1
3692,-1,-1,1733238054747769856,18182929
3693,17004288,21947005,-1,-1
3694,-1,-1,1733238054795916288,98146156
3695,34209536,94956842,-1,-1
3696,-1,-1,1733238054768699648,22783478
3697,16318976,22625242,-1,-1
3698,-1,-1,1733238054779070720,160370864
3699,43865600,172671765,-1,-1
3700,-1,-1,1733238054829094400,50023307
3701,35942912,40934563,-1,-1
3702,-1,-1,1733238054830036224,100941429
3703,31881728,98679337,-1,-1
3704,-1,-1,1733238054803951360,23915161
3705,16249856,22965150,-1,-1
3706,-1,-1,1733238054827307520,173355825
3707,43852800,179666407,-1,-1
3708,-1,-1,1733238054876079104,148771748
3709,33400576,143293997,-1,-1
3710,-1,-1,1733238054856659712,30580134
3711,20063744,29268340,-1,-1
3712,-1,-1,1733238054912953088,156293205
3713,32803840,156728784,-1,-1
3714,-1,-1,1733238054903641856,90688767
3715,23896832,90849215,-1,-1
3716,-1,-1,1733238054947425024,93782889
3717,34198016,94162936,-1,-1
3718,-1,-1,1733238054961053184,113627853
3719,35554560,113598758,-1,-1
3720,-1,-1,1733238054953378560,42325546
3721,33901568,42751327,-1,-1
3722,-1,-1,1733238054937674752,134295887
3723,43888640,145726431,-1,-1
3724,-1,-1,1733238054995661056,157986143
3725,38883072,145619419,-1,-1
3726,-1,-1,1733238055017186816,71525668
3727,45743616,83742350,-1,-1
3728,-1,-1,1733238054989156608,171969680
3729,25831936,159694310,-1,-1
3730,-1,-1,1733238055041500928,102343988
3731,31919872,101841207,-1,-1
3732,-1,-1,1733238055012448512,20947529
3733,17169152,22136068,-1,-1
3734,-1,-1,1733238055056209152,93760381
3735,18507520,92583782,-1,-1
3736,-1,-1,1733238055095094784,38885686
3737,35856896,41475864,-1,-1
3738,-1,-1,1733238055100395520,105300364
3739,32942592,103194290,-1,-1
3740,-1,-1,1733238055073182208,22786621
3741,16272640,22844843,-1,-1
3742,-1,-1,1733238055097698560,174516155
